course_code,section,instructor,day,time,room
CHEM201,2,Ms. Maliha Zahan Chowdhury,Saturday,11:30-01:00,107
CHEM201,2,Ms. Maliha Zahan Chowdhury,Saturday,01:30-03:00,107
CHEM201,2,Ms. Maliha Zahan Chowdhury,Saturday,03:00-04:30,107
CHEM201,2,Ms. Maliha Zahan Chowdhury,Saturday,04:30-06:00,107
EEE213,4,Ms.Shahin Akter,Saturday,11:30-01:00,108
EEE213,5,Ms.Shahin Akter,Saturday,10:00-11:30,110
CSE111,8,TBA,Saturday,10:00-11:30,111
CSE313,7,TBA,Saturday,10:00-11:30,114
CSE315,7,Mr. Riad Hossain,Saturday,11:30-01:00,114
CSE223,3,Ms.Shahin Akter,Saturday,01:30-03:00,114
MATH203,3,TBA,Saturday,03:00-04:30,114
MATH203,3,TBA,Saturday,04:30-06:00,114
CHEM201,3,Ms. Maliha Zahan Chowdhury,Saturday,10:00-11:30,311
CSE211,3,Mr. Mohammed Morshed Rana,Saturday,11:30-01:00,311
CSE211,3,Mr. Mohammed Morshed Rana,Saturday,01:30-03:00,311
CSE211,3,Mr. Mohammed Morshed Rana,Saturday,03:00-04:30,311
CSE211,3,Mr. Mohammed Morshed Rana,Saturday,04:30-06:00,311
CSE315,6,Mr. Riad Hossain,Saturday,10:00-11:30,312
CSE313,6,TBA,Saturday,11:30-01:00,312
CSE313,5,TBA,Saturday,01:30-03:00,312
CSE315,5,Mr. Riad Hossain,Saturday,03:00-04:30,312
CSE315,5,Mr. Riad Hossain,Saturday,04:30-06:00,312
CSE317,3,TBA,Saturday,10:00-11:30,N202
CHEM201,4,Ms. Maliha Zahan Chowdhury,Saturday,01:30-03:00,N202
CSE211,4,Mr. Mohammed Morshed Rana,Saturday,03:00-04:30,N202
CSE211,4,Mr. Mohammed Morshed Rana,Saturday,04:30-06:00,N202
ENG111,3,TBA,Saturday,10:00-11:30,N203
MATH107,3,Mr. Md. Sajeed-Ur-Rahman,Saturday,11:30-01:00,N203
CSE459,4,Ms. Tanjum Motin Mitul,Saturday,03:00-04:30,N203
CSE459,4,Ms. Tanjum Motin Mitul,Saturday,04:30-06:00,N203
MATH107,4,Mr. Md. Sajeed-Ur-Rahman,Saturday,10:00-11:30,N204
ENG111,4,TBA,Saturday,11:30-01:00,N204
CSE459,5,Ms. Tanjum Motin Mitul,Saturday,01:30-03:00,N204
MATH203,1,TBA,Saturday,01:30-03:00,N601
CSE325,1,Mr. Md. Jibon Mia,Saturday,03:00-04:30,N601
CSE325,1,Mr. Md. Jibon Mia,Saturday,04:30-06:00,N601
CSE317,4,TBA,Saturday,11:30-01:00,N602
ENG111,2,TBA,Saturday,01:30-03:00,N602
MATH107,2,TBA,Saturday,03:00-04:30,N602
MATH107,2,TBA,Saturday,04:30-06:00,N602
CSE211,5,TBA,Saturday,11:30-01:00,N603
CSE211,2,Mr. Mohammed Morshed Rana,Saturday,01:30-03:00,N603
CSE211,2,Mr. Mohammed Morshed Rana,Saturday,03:00-04:30,N603
CSE211,2,Mr. Mohammed Morshed Rana,Saturday,04:30-06:00,N603
CSE328,1,Mr. Udoy Das,Saturday,9:30-11:30,102
ME102,1,TBA,Saturday,11:30-01:30,102
CSE112,8,TBA,Saturday,01:30-03:30,102
CSE112,8,TBA,Saturday,03:30-05:30,102
CSE112,8,TBA,Saturday,03:30-05:30,102
CSE112,8,TBA,Saturday,03:30-05:30,102
CSE326,1,Mr. Md. Jibon Mia,Saturday,11:30-01:30,115
CSE326,1,Mr. Md. Jibon Mia,Saturday,01:30-03:30,115
CSE326,1,Mr. Md. Jibon Mia,Saturday,03:30-05:30,115
CSE326,1,Mr. Md. Jibon Mia,Saturday,03:30-05:30,115
CSE326,1,Mr. Md. Jibon Mia,Saturday,03:30-05:30,115
ME102,2,TBA,Saturday,9:30-11:30,313
CSE328,2,Mr. Udoy Das,Saturday,11:30-01:30,313
CSE328,4,Mr. Udoy Das,Saturday,01:30-03:30,313
CSE322,4,TBA,Saturday,03:30-05:30,313
CSE322,4,TBA,Saturday,03:30-05:30,313
CSE322,4,TBA,Saturday,03:30-05:30,313
CSE328,3,Ms. Tanjum Motin Mitul,Saturday,11:30-01:30,N600
ME102,3,TBA,Saturday,01:30-03:30,N600
ME102,3,TBA,Saturday,03:30-05:30,N600
ME102,3,TBA,Saturday,03:30-05:30,N600
ME102,3,TBA,Saturday,03:30-05:30,N600
MATH301,2,TBA,Sunday,11:30-01:00,103
EEE311,1,Mr. S.M. Baque Billah,Sunday,01:30-03:00,103
EEE451,1,Mr. Md. Siratul Mustakim Ifty,Sunday,03:00-04:30,103
EEE453,1,TBA,Sunday,04:30-06:00,103
EEE219,2,TBA,Sunday,10:00-11:30,107
EEE213,1,TBA,Sunday,11:30-01:00,107
EEE219,1,TBA,Sunday,01:30-03:00,107
EEE101,1,Mr. Mohammad Toufiq Ahmed,Sunday,04:30-06:00,107
CSE311,7,TBA,Sunday,11:30-01:00,108
EEE111,3,Ms. Tania Khadem,Sunday,01:30-03:00,108
EEE203,1,Mr. S.M. Baque Billah,Sunday,03:00-04:30,108
MATH103,1,Mr. Mashky Chowdhury Surja,Sunday,04:30-06:00,108
MATH207,2,Mr. Md. Rakibul Islam,Sunday,10:00-11:30,110
EEE111,2,Ms. Tania Khadem,Sunday,11:30-01:00,110
CSE123,1,Mr. Joydwip Mohajon,Sunday,01:30-03:00,110
CSE439,1,Mr. Golam Moktader Daiyan,Sunday,03:00-04:30,110
CSE459,4,Ms. Tanjum Motin Mitul,Sunday,04:30-06:00,110
CHEM201,1,Ms. Maliha Zahan Chowdhury,Sunday,8:30-10:00,111
CSE211,1,Mr. Mohammed Morshed Rana,Sunday,10:00-11:30,111
CSE311,4,Ms. Saraf Anika,Sunday,11:30-01:00,111
MATH301,1,Mr. Mohammad Akbar Bin Shah,Sunday,01:30-03:00,111
CSE211,3,Mr. Mohammed Morshed Rana,Sunday,03:00-04:30,111
CSE439,2,Mr. Golam Moktader Daiyan,Sunday,04:30-06:00,111
EEE111,4,Ms. Tania Khadem,Sunday,10:00-11:30,114
CSE211,4,Mr. Mohammed Morshed Rana,Sunday,11:30-01:00,114
CSE311,8,TBA,Sunday,01:30-03:00,114
EEE213,7,TBA,Sunday,03:00-04:30,114
EEE213,7,TBA,Sunday,04:30-06:00,114
MATH107,1,Mr. Md. Sajeed-Ur-Rahman,Sunday,8:30-10:00,311
PHY101,1,Ms. Sharmin Akter,Sunday,10:00-11:30,311
CSE215,3,Mr. Ahamed- Al- Arifin,Sunday,11:30-01:00,311
MATH207,1,Mr. Mashky Chowdhury Surja,Sunday,01:30-03:00,311
EEE103,1,TBA,Sunday,03:00-04:30,311
EEE103,1,TBA,Sunday,04:30-06:00,311
CSE215,4,Mr. Ahamed- Al- Arifin,Sunday,10:00-11:30,312
CSE221,4,Mr. Tahsin Mahmud,Sunday,11:30-01:00,312
EEE213,6,TBA,Sunday,01:30-03:00,312
MATH101,1,Mr. Mashky Chowdhury Surja,Sunday,03:00-04:30,312
MATH101,1,Mr. Mashky Chowdhury Surja,Sunday,04:30-06:00,312
CSE111,5,Mr. Md. Jamil Uddin,Sunday,10:00-11:30,N201
CSE319,1,Ms. Arifa Sultana Zarna,Sunday,11:30-01:00,N202
CSE115,7,Ms. Anika Bushra,Sunday,01:30-03:00,N202
IPD400,0,TBA,Sunday,03:00-04:30,N202
IPD400,0,TBA,Sunday,04:30-06:00,N202
CSE111,4,Ms. Nahida Nigar,Sunday,10:00-11:30,N203
CSE459,1,Ms. Nahida Nigar,Sunday,11:30-01:00,N203
CSE459,2,Ms. Nahida Nigar,Sunday,03:00-04:30,N203
CSE319,2,Ms. Arifa Sultana Zarna,Sunday,10:00-11:30,N204
CSE115,6,Ms. Anika Bushra,Sunday,11:30-01:00,N204
CSE313,4,TBA,Sunday,01:30-03:00,N204
CSE459,5,Ms. Tanjum Motin Mitul,Sunday,03:00-04:30,N204
CSE459,5,Ms. Tanjum Motin Mitul,Sunday,04:30-06:00,N204
CSE313,6,TBA,Sunday,10:00-11:30,N601
CSE223,2,Mr. Md. Siratul Mustakim Ifty,Sunday,11:30-01:00,N601
